key,value,date
Spanish,0,1730
Spanish,0,1731
Spanish,1,1746
Spanish,0,1753
Spanish,0,1765
Spanish,0,1772
Spanish,0,1782
Spanish,0,1787
Spanish,0,1788
Spanish,0,1789
Spanish,0,1791
Spanish,0,1792
Spanish,0,1793
Spanish,0,1795
Spanish,0,1796
Spanish,0,1797
Spanish,0,1798
Spanish,0,1800
Spanish,0,1801
Spanish,0,1802
Spanish,0,1803
Spanish,0,1804
Spanish,0,1806
Spanish,0,1807
Spanish,0,1808
Spanish,0,1809
Spanish,0,1810
Spanish,0,1811
Spanish,0,1812
Spanish,0,1813
Spanish,0,1814
Spanish,0,1815
Spanish,0,1816
Spanish,0,1817
Spanish,0,1818
Spanish,0,1819
Spanish,0,1820
Spanish,0,1821
Spanish,0,1822
Spanish,0,1823
Spanish,0,1824
Spanish,0,1825
Spanish,0,1826
Spanish,0,1827
Spanish,0,1828
Spanish,0,1829
Spanish,0,1830
Spanish,0,1831
Spanish,0,1832
Spanish,0,1833
Spanish,0,1834
Spanish,0,1835
Spanish,0,1836
Spanish,0,1837
Spanish,0,1838
Spanish,0,1839
Spanish,0,1840
Spanish,0,1841
Spanish,0,1842
Spanish,0,1843
Spanish,0,1844
Spanish,0,1845
Spanish,0,1846
Spanish,0,1847
Spanish,0,1848
Spanish,0,1849
Spanish,0,1850
Spanish,0,1851
Spanish,1,1852
Spanish,0,1853
Spanish,0,1854
Spanish,0,1855
Spanish,0,1856
Spanish,0,1857
Spanish,0,1858
Spanish,0,1859
Spanish,0,1860
Spanish,0,1861
Spanish,0,1862
Spanish,0,1863
Spanish,0,1864
Spanish,0,1865
Spanish,0,1866
Spanish,0,1867
Spanish,0,1868
Spanish,0,1869
Spanish,0,1870
Spanish,1,1871
Spanish,1,1872
Spanish,0,1873
Spanish,0,1874
Spanish,0,1875
Spanish,1,1876
Spanish,0,1877
Spanish,0,1878
Spanish,0,1879
Spanish,0,1880
Spanish,2,1881
Spanish,0,1882
Spanish,0,1883
Spanish,0,1884
Spanish,0,1885
Spanish,0,1886
Spanish,1,1887
Spanish,1,1888
Spanish,0,1889
Spanish,1,1890
Spanish,0,1891
Spanish,0,1892
Spanish,2,1893
Spanish,1,1894
Spanish,2,1895
Spanish,2,1896
Spanish,0,1897
Spanish,2,1898
Spanish,1,1899
Spanish,2,1900
Spanish,1,1901
Spanish,2,1902
Spanish,0,1903
Spanish,1,1904
Spanish,0,1905
Spanish,2,1906
Spanish,1,1907
Spanish,1,1908
Spanish,1,1909
Spanish,0,1910
Spanish,1,1911
Spanish,1,1912
Spanish,4,1913
Spanish,1,1914
Spanish,1,1915
Spanish,1,1916
Spanish,0,1917
Spanish,1,1918
Spanish,1,1919
Spanish,1,1920
Spanish,0,1921
Spanish,0,1922
Spanish,2,1923
Spanish,2,1924
Spanish,1,1925
Spanish,2,1926
Spanish,6,1927
Spanish,1,1928
Spanish,3,1929
Spanish,2,1930
Spanish,1,1931
Spanish,3,1932
Spanish,1,1933
Spanish,1,1934
Spanish,1,1935
Spanish,2,1936
Spanish,2,1937
Spanish,1,1938
Spanish,2,1939
Spanish,1,1940
Spanish,0,1941
Spanish,4,1942
Spanish,0,1943
Spanish,1,1944
Spanish,0,1945
Spanish,3,1946
Spanish,0,1947
Spanish,1,1948
Spanish,3,1949
Spanish,2,1950
Spanish,2,1951
Spanish,3,1952
Spanish,1,1953
Spanish,3,1954
Spanish,3,1955
Spanish,2,1956
Spanish,1,1957
Spanish,2,1958
Spanish,2,1959
Spanish,1,1960
Spanish,2,1961
Spanish,1,1962
Spanish,3,1963
Spanish,4,1964
Spanish,1,1965
Spanish,1,1966
Spanish,0,1967
Spanish,1,1968
Spanish,1,1969
Spanish,2,1970
Spanish,1,1971
Spanish,3,1972
Spanish,1,1973
Spanish,1,1974
Spanish,3,1975
Spanish,0,1976
Spanish,0,1977
Spanish,0,1978
Spanish,0,1979
Spanish,0,1980
Spanish,1,1981
Spanish,0,1982
Spanish,0,1983
Spanish,1,1984
Spanish,0,1985
Spanish,0,1986
Spanish,0,1987
Spanish,0,1988
Spanish,0,1989
Spanish,0,1990
Spanish,0,1991
Spanish,0,1992
Spanish,0,1993
Spanish,0,1994
Spanish,0,1995
Spanish,0,1996
Spanish,2,1997
Spanish,0,1998
Spanish,0,1999
Spanish,0,2000
Spanish,0,2001
Spanish,0,2002
Spanish,0,2003
Spanish,0,2004
Spanish,0,2005
Spanish,0,2006
Spanish,0,2007
Spanish,0,2008
Spanish,0,2009
Spanish,0,2010
Spanish,0,2011
Spanish,0,2012
Spanish,0,2014
Spanish,0,2015
Spanish,0,2016
Spanish,0,2017
American,0,1730
American,0,1731
American,0,1746
American,0,1753
American,0,1765
American,1,1772
American,0,1782
American,0,1787
American,0,1788
American,0,1789
American,0,1791
American,0,1792
American,0,1793
American,1,1795
American,0,1796
American,0,1797
American,0,1798
American,0,1800
American,0,1801
American,1,1802
American,0,1803
American,0,1804
American,0,1806
American,0,1807
American,0,1808
American,0,1809
American,0,1810
American,0,1811
American,1,1812
American,0,1813
American,0,1814
American,0,1815
American,1,1816
American,0,1817
American,1,1818
American,1,1819
American,1,1820
American,1,1821
American,1,1822
American,4,1823
American,0,1824
American,2,1825
American,1,1826
American,1,1827
American,1,1828
American,1,1829
American,4,1830
American,1,1831
American,3,1832
American,3,1833
American,1,1834
American,0,1835
American,0,1836
American,1,1837
American,2,1838
American,0,1839
American,2,1840
American,0,1841
American,1,1842
American,5,1843
American,2,1844
American,2,1845
American,1,1846
American,0,1847
American,6,1848
American,2,1849
American,2,1850
American,5,1851
American,2,1852
American,3,1853
American,2,1854
American,1,1855
American,5,1856
American,6,1857
American,5,1858
American,3,1859
American,2,1860
American,4,1861
American,2,1862
American,1,1863
American,8,1864
American,8,1865
American,4,1866
American,9,1867
American,8,1868
American,12,1869
American,11,1870
American,9,1871
American,8,1872
American,7,1873
American,9,1874
American,4,1875
American,10,1876
American,8,1877
American,7,1878
American,8,1879
American,17,1880
American,15,1881
American,13,1882
American,18,1883
American,17,1884
American,18,1885
American,16,1886
American,21,1887
American,19,1888
American,25,1889
American,19,1890
American,19,1891
American,25,1892
American,19,1893
American,28,1894
American,24,1895
American,28,1896
American,20,1897
American,41,1898
American,26,1899
American,32,1900
American,33,1901
American,31,1902
American,38,1903
American,44,1904
American,35,1905
American,44,1906
American,43,1907
American,40,1908
American,45,1909
American,41,1910
American,39,1911
American,38,1912
American,35,1913
American,49,1914
American,31,1915
American,46,1916
American,43,1917
American,43,1918
American,36,1919
American,40,1920
American,49,1921
American,54,1922
American,53,1923
American,64,1924
American,58,1925
American,56,1926
American,53,1927
American,55,1928
American,51,1929
American,58,1930
American,54,1931
American,61,1932
American,59,1933
American,60,1934
American,67,1935
American,62,1936
American,70,1937
American,82,1938
American,75,1939
American,66,1940
American,91,1941
American,107,1942
American,95,1943
American,84,1944
American,77,1945
American,101,1946
American,92,1947
American,87,1948
American,62,1949
American,62,1950
American,72,1951
American,69,1952
American,65,1953
American,64,1954
American,52,1955
American,64,1956
American,59,1957
American,65,1958
American,44,1959
American,60,1960
American,53,1961
American,36,1962
American,44,1963
American,44,1964
American,45,1965
American,39,1966
American,38,1967
American,43,1968
American,43,1969
American,34,1970
American,38,1971
American,47,1972
American,38,1973
American,37,1974
American,44,1975
American,27,1976
American,34,1977
American,23,1978
American,23,1979
American,10,1980
American,17,1981
American,15,1982
American,14,1983
American,7,1984
American,8,1985
American,9,1986
American,5,1987
American,7,1988
American,1,1989
American,1,1990
American,2,1991
American,0,1992
American,1,1993
American,1,1994
American,2,1995
American,5,1996
American,3,1997
American,2,1998
American,0,1999
American,3,2000
American,2,2001
American,2,2002
American,2,2003
American,3,2004
American,2,2005
American,1,2006
American,0,2007
American,1,2008
American,0,2009
American,2,2010
American,1,2011
American,0,2012
American,0,2014
American,0,2015
American,0,2016
American,2,2017
Danish,0,1730
Danish,0,1731
Danish,0,1746
Danish,0,1753
Danish,0,1765
Danish,0,1772
Danish,0,1782
Danish,0,1787
Danish,0,1788
Danish,0,1789
Danish,0,1791
Danish,0,1792
Danish,0,1793
Danish,0,1795
Danish,0,1796
Danish,0,1797
Danish,0,1798
Danish,0,1800
Danish,0,1801
Danish,0,1802
Danish,0,1803
Danish,0,1804
Danish,0,1806
Danish,0,1807
Danish,0,1808
Danish,0,1809
Danish,0,1810
Danish,0,1811
Danish,0,1812
Danish,0,1813
Danish,0,1814
Danish,0,1815
Danish,0,1816
Danish,0,1817
Danish,0,1818
Danish,0,1819
Danish,0,1820
Danish,0,1821
Danish,0,1822
Danish,0,1823
Danish,0,1824
Danish,0,1825
Danish,0,1826
Danish,0,1827
Danish,0,1828
Danish,0,1829
Danish,0,1830
Danish,0,1831
Danish,0,1832
Danish,0,1833
Danish,0,1834
Danish,0,1835
Danish,0,1836
Danish,0,1837
Danish,0,1838
Danish,0,1839
Danish,0,1840
Danish,0,1841
Danish,0,1842
Danish,0,1843
Danish,0,1844
Danish,0,1845
Danish,0,1846
Danish,0,1847
Danish,0,1848
Danish,0,1849
Danish,0,1850
Danish,0,1851
Danish,0,1852
Danish,0,1853
Danish,0,1854
Danish,0,1855
Danish,0,1856
Danish,0,1857
Danish,0,1858
Danish,0,1859
Danish,0,1860
Danish,0,1861
Danish,0,1862
Danish,0,1863
Danish,0,1864
Danish,0,1865
Danish,0,1866
Danish,0,1867
Danish,0,1868
Danish,0,1869
Danish,0,1870
Danish,0,1871
Danish,0,1872
Danish,0,1873
Danish,0,1874
Danish,0,1875
Danish,1,1876
Danish,0,1877
Danish,1,1878
Danish,0,1879
Danish,0,1880
Danish,0,1881
Danish,0,1882
Danish,0,1883
Danish,0,1884
Danish,0,1885
Danish,0,1886
Danish,0,1887
Danish,0,1888
Danish,2,1889
Danish,0,1890
Danish,0,1891
Danish,0,1892
Danish,0,1893
Danish,1,1894
Danish,0,1895
Danish,0,1896
Danish,0,1897
Danish,0,1898
Danish,4,1899
Danish,0,1900
Danish,1,1901
Danish,1,1902
Danish,1,1903
Danish,0,1904
Danish,1,1905
Danish,1,1906
Danish,0,1907
Danish,0,1908
Danish,0,1909
Danish,4,1910
Danish,2,1911
Danish,2,1912
Danish,2,1913
Danish,3,1914
Danish,1,1915
Danish,0,1916
Danish,2,1917
Danish,4,1918
Danish,2,1919
Danish,6,1920
Danish,1,1921
Danish,2,1922
Danish,3,1923
Danish,1,1924
Danish,1,1925
Danish,2,1926
Danish,0,1927
Danish,0,1928
Danish,1,1929
Danish,0,1930
Danish,0,1931
Danish,1,1932
Danish,1,1933
Danish,1,1934
Danish,0,1935
Danish,0,1936
Danish,1,1937
Danish,1,1938
Danish,1,1939
Danish,2,1940
Danish,2,1941
Danish,1,1942
Danish,4,1943
Danish,2,1944
Danish,0,1945
Danish,0,1946
Danish,2,1947
Danish,0,1948
Danish,0,1949
Danish,1,1950
Danish,0,1951
Danish,0,1952
Danish,2,1953
Danish,0,1954
Danish,2,1955
Danish,1,1956
Danish,2,1957
Danish,1,1958
Danish,1,1959
Danish,2,1960
Danish,1,1961
Danish,1,1962
Danish,1,1963
Danish,0,1964
Danish,1,1965
Danish,3,1966
Danish,1,1967
Danish,0,1968
Danish,0,1969
Danish,4,1970
Danish,3,1971
Danish,2,1972
Danish,1,1973
Danish,3,1974
Danish,1,1975
Danish,0,1976
Danish,0,1977
Danish,0,1978
Danish,0,1979
Danish,0,1980
Danish,0,1981
Danish,0,1982
Danish,0,1983
Danish,0,1984
Danish,0,1985
Danish,0,1986
Danish,1,1987
Danish,0,1988
Danish,0,1989
Danish,0,1990
Danish,0,1991
Danish,0,1992
Danish,0,1993
Danish,0,1994
Danish,0,1995
Danish,0,1996
Danish,0,1997
Danish,1,1998
Danish,0,1999
Danish,0,2000
Danish,0,2001
Danish,0,2002
Danish,0,2003
Danish,0,2004
Danish,0,2005
Danish,0,2006
Danish,0,2007
Danish,0,2008
Danish,0,2009
Danish,0,2010
Danish,0,2011
Danish,0,2012
Danish,0,2014
Danish,0,2015
Danish,0,2016
Danish,0,2017
