key,value,date
Other,0,1730
Other,0,1731
Other,1,1746
Other,0,1753
Other,0,1765
Other,0,1772
Other,0,1782
Other,0,1787
Other,0,1788
Other,0,1789
Other,0,1791
Other,0,1792
Other,0,1793
Other,0,1795
Other,0,1796
Other,0,1797
Other,0,1798
Other,0,1800
Other,0,1801
Other,0,1802
Other,0,1803
Other,0,1804
Other,0,1806
Other,0,1807
Other,0,1808
Other,0,1809
Other,0,1810
Other,0,1811
Other,0,1812
Other,0,1813
Other,0,1814
Other,0,1815
Other,0,1816
Other,0,1817
Other,0,1818
Other,0,1819
Other,0,1820
Other,0,1821
Other,0,1822
Other,0,1823
Other,0,1824
Other,0,1825
Other,0,1826
Other,0,1827
Other,0,1828
Other,0,1829
Other,0,1830
Other,0,1831
Other,0,1832
Other,0,1833
Other,0,1834
Other,0,1835
Other,0,1836
Other,0,1837
Other,0,1838
Other,0,1839
Other,0,1840
Other,0,1841
Other,0,1842
Other,0,1843
Other,0,1844
Other,0,1845
Other,0,1846
Other,0,1847
Other,0,1848
Other,0,1849
Other,0,1850
Other,0,1851
Other,1,1852
Other,0,1853
Other,0,1854
Other,0,1855
Other,0,1856
Other,0,1857
Other,0,1858
Other,0,1859
Other,0,1860
Other,0,1861
Other,0,1862
Other,0,1863
Other,0,1864
Other,0,1865
Other,0,1866
Other,0,1867
Other,0,1868
Other,0,1869
Other,0,1870
Other,1,1871
Other,1,1872
Other,0,1873
Other,0,1874
Other,0,1875
Other,1,1876
Other,0,1877
Other,0,1878
Other,0,1879
Other,0,1880
Other,2,1881
Other,0,1882
Other,0,1883
Other,0,1884
Other,0,1885
Other,0,1886
Other,1,1887
Other,1,1888
Other,0,1889
Other,1,1890
Other,0,1891
Other,0,1892
Other,2,1893
Other,1,1894
Other,2,1895
Other,2,1896
Other,0,1897
Other,2,1898
Other,1,1899
Other,2,1900
Other,1,1901
Other,2,1902
Other,0,1903
Other,1,1904
Other,0,1905
Other,2,1906
Other,1,1907
Other,1,1908
Other,1,1909
Other,0,1910
Other,1,1911
Other,1,1912
Other,4,1913
Other,1,1914
Other,1,1915
Other,1,1916
Other,0,1917
Other,1,1918
Other,1,1919
Other,1,1920
Other,0,1921
Other,0,1922
Other,2,1923
Other,2,1924
Other,1,1925
Other,2,1926
Other,6,1927
Other,1,1928
Other,3,1929
Other,2,1930
Other,1,1931
Other,3,1932
Other,1,1933
Other,1,1934
Other,1,1935
Other,2,1936
Other,2,1937
Other,1,1938
Other,2,1939
Other,1,1940
Other,0,1941
Other,4,1942
Other,0,1943
Other,1,1944
Other,0,1945
Other,3,1946
Other,0,1947
Other,1,1948
Other,3,1949
Other,2,1950
Other,2,1951
Other,3,1952
Other,1,1953
Other,3,1954
Other,3,1955
Other,2,1956
Other,1,1957
Other,2,1958
Other,2,1959
Other,1,1960
Other,2,1961
Other,1,1962
Other,3,1963
Other,4,1964
Other,1,1965
Other,1,1966
Other,0,1967
Other,1,1968
Other,1,1969
Other,2,1970
Other,1,1971
Other,3,1972
Other,1,1973
Other,1,1974
Other,3,1975
Other,0,1976
Other,0,1977
Other,0,1978
Other,0,1979
Other,0,1980
Other,1,1981
Other,0,1982
Other,0,1983
Other,1,1984
Other,0,1985
Other,0,1986
Other,0,1987
Other,0,1988
Other,0,1989
Other,0,1990
Other,0,1991
Other,0,1992
Other,0,1993
Other,0,1994
Other,0,1995
Other,0,1996
Other,2,1997
Other,0,1998
Other,0,1999
Other,0,2000
Other,0,2001
Other,0,2002
Other,0,2003
Other,0,2004
Other,0,2005
Other,0,2006
Other,0,2007
Other,0,2008
Other,0,2009
Other,0,2010
Other,0,2011
Other,0,2012
Other,0,2014
Other,0,2015
Other,0,2016
Other,0,2017
American,0,1730
American,0,1731
American,0,1746
American,0,1753
American,0,1765
American,1,1772
American,0,1782
American,0,1787
American,0,1788
American,0,1789
American,0,1791
American,0,1792
American,0,1793
American,1,1795
American,0,1796
American,0,1797
American,0,1798
American,0,1800
American,0,1801
American,1,1802
American,0,1803
American,0,1804
American,0,1806
American,0,1807
American,0,1808
American,0,1809
American,0,1810
American,0,1811
American,1,1812
American,0,1813
American,0,1814
American,0,1815
American,1,1816
American,0,1817
American,1,1818
American,1,1819
American,1,1820
American,1,1821
American,1,1822
American,4,1823
American,0,1824
American,2,1825
American,1,1826
American,1,1827
American,1,1828
American,1,1829
American,4,1830
American,1,1831
American,3,1832
American,3,1833
American,1,1834
American,0,1835
American,0,1836
American,1,1837
American,2,1838
American,0,1839
American,2,1840
American,0,1841
American,1,1842
American,5,1843
American,2,1844
American,2,1845
American,1,1846
American,0,1847
American,6,1848
American,2,1849
American,2,1850
American,5,1851
American,2,1852
American,3,1853
American,2,1854
American,1,1855
American,5,1856
American,6,1857
American,5,1858
American,3,1859
American,2,1860
American,4,1861
American,2,1862
American,1,1863
American,8,1864
American,8,1865
American,4,1866
American,9,1867
American,8,1868
American,12,1869
American,11,1870
American,9,1871
American,8,1872
American,7,1873
American,9,1874
American,4,1875
American,10,1876
American,8,1877
American,7,1878
American,8,1879
American,17,1880
American,15,1881
American,13,1882
American,18,1883
American,17,1884
American,18,1885
American,16,1886
American,21,1887
American,19,1888
American,25,1889
American,19,1890
American,19,1891
American,25,1892
American,19,1893
American,28,1894
American,24,1895
American,28,1896
American,20,1897
American,41,1898
American,26,1899
American,32,1900
American,33,1901
American,31,1902
American,38,1903
American,44,1904
American,35,1905
American,44,1906
American,43,1907
American,40,1908
American,45,1909
American,41,1910
American,39,1911
American,38,1912
American,35,1913
American,49,1914
American,31,1915
American,46,1916
American,43,1917
American,43,1918
American,36,1919
American,40,1920
American,49,1921
American,54,1922
American,53,1923
American,64,1924
American,58,1925
American,56,1926
American,53,1927
American,55,1928
American,51,1929
American,58,1930
American,54,1931
American,61,1932
American,59,1933
American,60,1934
American,67,1935
American,62,1936
American,70,1937
American,82,1938
American,75,1939
American,66,1940
American,91,1941
American,107,1942
American,95,1943
American,84,1944
American,77,1945
American,101,1946
American,92,1947
American,87,1948
American,62,1949
American,62,1950
American,72,1951
American,69,1952
American,65,1953
American,64,1954
American,52,1955
American,64,1956
American,59,1957
American,65,1958
American,44,1959
American,60,1960
American,53,1961
American,36,1962
American,44,1963
American,44,1964
American,45,1965
American,39,1966
American,38,1967
American,43,1968
American,43,1969
American,34,1970
American,38,1971
American,47,1972
American,38,1973
American,37,1974
American,44,1975
American,27,1976
American,34,1977
American,23,1978
American,23,1979
American,10,1980
American,17,1981
American,15,1982
American,14,1983
American,7,1984
American,8,1985
American,9,1986
American,5,1987
American,7,1988
American,1,1989
American,1,1990
American,2,1991
American,0,1992
American,1,1993
American,1,1994
American,2,1995
American,5,1996
American,3,1997
American,2,1998
American,0,1999
American,3,2000
American,2,2001
American,2,2002
American,2,2003
American,3,2004
American,2,2005
American,1,2006
American,0,2007
American,1,2008
American,0,2009
American,2,2010
American,1,2011
American,0,2012
American,0,2014
American,0,2015
American,0,2016
American,2,2017
Other,0,1730
Other,0,1731
Other,0,1746
Other,0,1753
Other,0,1765
Other,0,1772
Other,0,1782
Other,0,1787
Other,0,1788
Other,0,1789
Other,0,1791
Other,0,1792
Other,0,1793
Other,0,1795
Other,0,1796
Other,0,1797
Other,0,1798
Other,0,1800
Other,0,1801
Other,0,1802
Other,0,1803
Other,0,1804
Other,0,1806
Other,0,1807
Other,0,1808
Other,0,1809
Other,0,1810
Other,0,1811
Other,0,1812
Other,0,1813
Other,0,1814
Other,0,1815
Other,0,1816
Other,0,1817
Other,0,1818
Other,0,1819
Other,0,1820
Other,0,1821
Other,0,1822
Other,0,1823
Other,0,1824
Other,0,1825
Other,0,1826
Other,0,1827
Other,0,1828
Other,0,1829
Other,0,1830
Other,0,1831
Other,0,1832
Other,0,1833
Other,0,1834
Other,0,1835
Other,0,1836
Other,0,1837
Other,0,1838
Other,0,1839
Other,0,1840
Other,0,1841
Other,0,1842
Other,0,1843
Other,0,1844
Other,0,1845
Other,0,1846
Other,0,1847
Other,0,1848
Other,0,1849
Other,0,1850
Other,0,1851
Other,0,1852
Other,0,1853
Other,0,1854
Other,0,1855
Other,0,1856
Other,0,1857
Other,0,1858
Other,0,1859
Other,0,1860
Other,0,1861
Other,0,1862
Other,0,1863
Other,0,1864
Other,0,1865
Other,0,1866
Other,0,1867
Other,0,1868
Other,0,1869
Other,0,1870
Other,0,1871
Other,0,1872
Other,0,1873
Other,0,1874
Other,0,1875
Other,1,1876
Other,0,1877
Other,1,1878
Other,0,1879
Other,0,1880
Other,0,1881
Other,0,1882
Other,0,1883
Other,0,1884
Other,0,1885
Other,0,1886
Other,0,1887
Other,0,1888
Other,2,1889
Other,0,1890
Other,0,1891
Other,0,1892
Other,0,1893
Other,1,1894
Other,0,1895
Other,0,1896
Other,0,1897
Other,0,1898
Other,4,1899
Other,0,1900
Other,1,1901
Other,1,1902
Other,1,1903
Other,0,1904
Other,1,1905
Other,1,1906
Other,0,1907
Other,0,1908
Other,0,1909
Other,4,1910
Other,2,1911
Other,2,1912
Other,2,1913
Other,3,1914
Other,1,1915
Other,0,1916
Other,2,1917
Other,4,1918
Other,2,1919
Other,6,1920
Other,1,1921
Other,2,1922
Other,3,1923
Other,1,1924
Other,1,1925
Other,2,1926
Other,0,1927
Other,0,1928
Other,1,1929
Other,0,1930
Other,0,1931
Other,1,1932
Other,1,1933
Other,1,1934
Other,0,1935
Other,0,1936
Other,1,1937
Other,1,1938
Other,1,1939
Other,2,1940
Other,2,1941
Other,1,1942
Other,4,1943
Other,2,1944
Other,0,1945
Other,0,1946
Other,2,1947
Other,0,1948
Other,0,1949
Other,1,1950
Other,0,1951
Other,0,1952
Other,2,1953
Other,0,1954
Other,2,1955
Other,1,1956
Other,2,1957
Other,1,1958
Other,1,1959
Other,2,1960
Other,1,1961
Other,1,1962
Other,1,1963
Other,0,1964
Other,1,1965
Other,3,1966
Other,1,1967
Other,0,1968
Other,0,1969
Other,4,1970
Other,3,1971
Other,2,1972
Other,1,1973
Other,3,1974
Other,1,1975
Other,0,1976
Other,0,1977
Other,0,1978
Other,0,1979
Other,0,1980
Other,0,1981
Other,0,1982
Other,0,1983
Other,0,1984
Other,0,1985
Other,0,1986
Other,1,1987
Other,0,1988
Other,0,1989
Other,0,1990
Other,0,1991
Other,0,1992
Other,0,1993
Other,0,1994
Other,0,1995
Other,0,1996
Other,0,1997
Other,1,1998
Other,0,1999
Other,0,2000
Other,0,2001
Other,0,2002
Other,0,2003
Other,0,2004
Other,0,2005
Other,0,2006
