key,value,date
Male,1,1730
Male,0,1731
Male,1,1746
Male,1,1753
Male,0,1765
Male,1,1772
Male,1,1782
Male,1,1787
Male,1,1788
Male,1,1789
Male,1,1791
Male,1,1792
Male,0,1793
Male,2,1795
Male,2,1796
Male,2,1797
Male,1,1798
Male,4,1800
Male,3,1801
Male,3,1802
Male,1,1803
Male,2,1804
Male,1,1806
Male,0,1807
Male,2,1808
Male,4,1809
Male,3,1810
Male,5,1811
Male,3,1812
Male,5,1813
Male,4,1814
Male,2,1815
Male,6,1816
Male,3,1817
Male,4,1818
Male,11,1819
Male,6,1820
Male,8,1821
Male,6,1822
Male,4,1823
Male,6,1824
Male,6,1825
Male,3,1826
Male,6,1827
Male,3,1828
Male,3,1829
Male,7,1830
Male,6,1831
Male,6,1832
Male,6,1833
Male,7,1834
Male,1,1835
Male,4,1836
Male,3,1837
Male,2,1838
Male,4,1839
Male,6,1840
Male,4,1841
Male,4,1842
Male,7,1843
Male,4,1844
Male,4,1845
Male,4,1846
Male,5,1847
Male,12,1848
Male,7,1849
Male,4,1850
Male,6,1851
Male,5,1852
Male,13,1853
Male,5,1854
Male,6,1855
Male,12,1856
Male,10,1857
Male,13,1858
Male,13,1859
Male,17,1860
Male,19,1861
Male,10,1862
Male,15,1863
Male,21,1864
Male,20,1865
Male,13,1866
Male,29,1867
Male,25,1868
Male,21,1869
Male,19,1870
Male,22,1871
Male,29,1872
Male,19,1873
Male,25,1874
Male,21,1875
Male,28,1876
Male,22,1877
Male,28,1878
Male,27,1879
Male,35,1880
Male,41,1881
Male,41,1882
Male,58,1883
Male,39,1884
Male,47,1885
Male,54,1886
Male,57,1887
Male,45,1888
Male,64,1889
Male,53,1890
Male,45,1891
Male,56,1892
Male,53,1893
Male,57,1894
Male,53,1895
Male,65,1896
Male,65,1897
Male,64,1898
Male,60,1899
Male,81,1900
Male,56,1901
Male,85,1902
Male,67,1903
Male,76,1904
Male,71,1905
Male,71,1906
Male,71,1907
Male,68,1908
Male,76,1909
Male,65,1910
Male,64,1911
Male,64,1912
Male,81,1913
Male,83,1914
Male,51,1915
Male,62,1916
Male,63,1917
Male,58,1918
Male,67,1919
Male,102,1920
Male,85,1921
Male,108,1922
Male,105,1923
Male,118,1924
Male,114,1925
Male,117,1926
Male,88,1927
Male,122,1928
Male,94,1929
Male,129,1930
Male,98,1931
Male,128,1932
Male,115,1933
Male,115,1934
Male,119,1935
Male,130,1936
Male,141,1937
Male,143,1938
Male,122,1939
Male,120,1940
Male,125,1941
Male,149,1942
Male,154,1943
Male,130,1944
Male,107,1945
Male,120,1946
Male,120,1947
Male,97,1948
Male,97,1949
Male,76,1950
Male,89,1951
Male,103,1952
Male,81,1953
Male,93,1954
Male,98,1955
Male,80,1956
Male,101,1957
Male,91,1958
Male,87,1959
Male,89,1960
Male,95,1961
Male,79,1962
Male,92,1963
Male,78,1964
Male,86,1965
Male,82,1966
Male,79,1967
Male,71,1968
Male,67,1969
Male,81,1970
Male,66,1971
Male,69,1972
Male,68,1973
Male,60,1974
Male,66,1975
Male,52,1976
Male,62,1977
Male,37,1978
Male,33,1979
Male,20,1980
Male,13,1981
Male,22,1982
Male,12,1983
Male,7,1984
Male,7,1985
Male,8,1986
Male,1,1987
Male,3,1988
Male,3,1989
Male,2,1990
Male,2,1991
Male,0,1992
Male,0,1993
Male,0,1994
Male,0,1995
Male,0,1996
Male,0,1997
Male,0,1998
