Nationality,isAlive,Gender
American,No,Male
Other,Yes,Male
American,Yes,Male
American,Yes,Male
Other,Yes,Male
Italian,Yes,Male
American,Yes,Male
American,Yes,Male
American,Yes,Female
French,No,Male
Other,Yes,Male
Other,No,Male
Other,No,Male
Other,No,Male
Other,Yes,
American,No,Male
American,No,Female
Other,Yes,Female
British,No,Male
American,Yes,Male
American,No,Male
Other,Yes,
Other,No,Male
French,Yes,Female
Italian,Yes,Male
American,No,Female
French,Yes,
American,Yes,
Other,No,Male
Other,No,Female
Other,Yes,Male
American,No,Male
Other,No,Female
American,No,Male
Other,No,Male
American,No,Female
Other,No,Male
Other,Yes,Male
American,Yes,Male
American,Yes,Male
American,No,Male
British,Yes,Male
British,No,Male
American,No,Male
Other,Yes,Male
American,No,Male
American,Yes,Male
British,Yes,Male
Other,No,Male
French,No,Male
French,No,Male
Italian,Yes,Male
American,No,Male
American,Yes,Female
American,No,Male
British,No,Male
American,Yes,Male
American,No,Male
American,Yes,Male
American,Yes,Female
American,No,Male
American,No,Male
Other,No,Male
American,No,Female
Other,Yes,Male
British,No,Male
American,Yes,Male
Italian,No,Male
Other,Yes,
Other,Yes,Male
American,No,Male
American,Yes,Female
American,No,Male
French,No,Male
American,No,Male
Other,No,Male
German,No,Male
American,No,Male
American,No,Male
British,No,Male
Other,No,Male
Other,Yes,Male
Other,Yes,Male
Other,Yes,Female
German,No,Male
American,No,Female
American,No,Male
American,Yes,Female
American,No,Female
American,No,Male
Other,Yes,
American,No,Male
American,No,Male
American,Yes,
British,Yes,Male
Other,Yes,Male
American,Yes,Male
Italian,Yes,Male
American,Yes,Male
Italian,Yes,
American,Yes,Male
French,No,Male
Other,No,Male
American,Yes,Male
American,No,Male
American,Yes,Male
American,Yes,Male
British,No,Male
Other,Yes,Male
American,No,Male
American,Yes,Male
German,No,Male
American,Yes,Male
American,No,Male
Italian,Yes,Male
American,No,Male
Other,No,Male
Other,Yes,Male
Italian,Yes,Male
French,No,Male
Other,Yes,Male
American,Yes,Male
Other,Yes,Male
Other,Yes,
American,No,Male
Other,Yes,Male
American,Yes,Male
Other,No,Female
Other,No,Male
